,pct_max_score,learner_model,interactive,psiturk_log_uuid,level_number
3833,42.857142857142854,pragmatic,False,,7
3834,100.0,literal,False,,8
3835,100.0,pragmatic,False,,8
3836,74.07407407407408,literal,False,,9
3837,74.07407407407408,pragmatic,False,,9
3838,100.0,literal,False,,10
3839,100.0,pragmatic,False,,10
3840,-62.5,literal,False,,1
3841,37.5,pragmatic,False,,1
3842,25.0,literal,False,,2
3843,-87.5,pragmatic,False,,2
3844,35.294117647058826,literal,False,,3
3845,35.294117647058826,pragmatic,False,,3
3846,100.0,literal,False,,4
3847,100.0,pragmatic,False,,4
3848,72.0,literal,False,,5
3849,100.0,pragmatic,False,,5
3850,-20.0,literal,False,,6
3851,-20.0,pragmatic,False,,6
3852,0.0,literal,False,,7
3853,42.857142857142854,pragmatic,False,,7
3854,100.0,literal,False,,8
3855,100.0,pragmatic,False,,8
3856,74.07407407407408,literal,False,,9
3857,74.07407407407408,pragmatic,False,,9
3858,100.0,literal,False,,10
3859,35.0,pragmatic,False,,10
3860,-62.5,literal,False,,1
3861,-31.25,pragmatic,False,,1
3862,-112.5,literal,False,,2
3863,-56.25,pragmatic,False,,2
3864,-94.11764705882352,literal,False,,3
3865,-129.41176470588235,pragmatic,False,,3
3866,45.83333333333333,literal,False,,4
3867,-62.5,pragmatic,False,,4
3868,80.0,literal,False,,5
3869,0.0,pragmatic,False,,5
3870,-20.0,literal,False,,6
3871,-20.0,pragmatic,False,,6
3872,100.0,literal,False,,7
3873,100.0,pragmatic,False,,7
3874,-66.66666666666666,literal,False,,8
3875,58.333333333333336,pragmatic,False,,8
3876,74.07407407407408,literal,False,,9
3877,74.07407407407408,pragmatic,False,,9
3878,100.0,literal,False,,10
3879,100.0,pragmatic,False,,10
3880,43.75,literal,False,,1
3881,-62.5,pragmatic,False,,1
3882,-68.75,literal,False,,2
3883,-50.0,pragmatic,False,,2
3884,100.0,literal,False,,3
3885,64.70588235294117,pragmatic,False,,3
3886,-75.0,literal,False,,4
3887,100.0,pragmatic,False,,4
3888,80.0,literal,False,,5
3889,48.0,pragmatic,False,,5
3890,40.0,literal,False,,6
3891,40.0,pragmatic,False,,6
3892,92.85714285714286,literal,False,,7
3893,92.85714285714286,pragmatic,False,,7
3894,-75.0,literal,False,,8
3895,-41.66666666666667,pragmatic,False,,8
3896,59.25925925925925,literal,False,,9
3897,74.07407407407408,pragmatic,False,,9
3898,100.0,literal,False,,10
3899,100.0,pragmatic,False,,10
3900,31.25,literal,False,,1
3901,31.25,pragmatic,False,,1
3902,100.0,literal,False,,2
3903,0.0,pragmatic,False,,2
3904,100.0,literal,False,,3
3905,100.0,pragmatic,False,,3
3906,100.0,literal,False,,4
3907,41.66666666666667,pragmatic,False,,4
3908,48.0,literal,False,,5
3909,48.0,pragmatic,False,,5
3910,26.666666666666668,literal,False,,6
3911,26.666666666666668,pragmatic,False,,6
3912,42.857142857142854,literal,False,,7
3913,42.857142857142854,pragmatic,False,,7
3914,100.0,literal,False,,8
3915,100.0,pragmatic,False,,8
3916,59.25925925925925,literal,False,,9
3917,74.07407407407408,pragmatic,False,,9
3918,55.00000000000001,literal,False,,10
3919,25.0,pragmatic,False,,10
3920,31.25,human,True,,1
3921,-62.5,neural,False,,1
3922,100.0,human,True,,2
3923,100.0,neural,False,,2
3924,35.294117647058826,human,True,,3
3925,100.0,neural,False,,3
3926,100.0,human,True,,4
3927,100.0,neural,False,,4
3928,100.0,human,True,,5
3929,100.0,neural,False,,5
3930,100.0,human,True,,6
3931,26.666666666666668,neural,False,,6
3932,100.0,human,True,,7
3933,100.0,neural,False,,7
3934,100.0,human,True,,8
3935,58.333333333333336,neural,False,,8
3936,96.29629629629628,human,True,,9
3937,74.07407407407408,neural,False,,9
3938,100.0,human,True,,10
3939,100.0,neural,False,,10
3940,31.25,human,True,,1
3941,37.5,neural,False,,1
3942,100.0,human,True,,2
3943,100.0,neural,False,,2
3944,47.05882352941176,human,True,,3
3945,35.294117647058826,neural,False,,3
3946,50.0,human,True,,4
3947,100.0,neural,False,,4
3948,100.0,human,True,,5
3949,100.0,neural,False,,5
3950,100.0,human,True,,6
3951,26.666666666666668,neural,False,,6
3952,100.0,human,True,,7
3953,100.0,neural,False,,7
3954,100.0,human,True,,8
3955,58.333333333333336,neural,False,,8
3956,74.07407407407408,human,True,,9
3957,74.07407407407408,neural,False,,9
3958,100.0,human,True,,10
3959,100.0,neural,False,,10
3960,31.25,human,True,,1
3961,-6.25,neural,False,,1
3962,100.0,human,True,,2
3963,100.0,neural,False,,2
3964,35.294117647058826,human,True,,3
3965,35.294117647058826,neural,False,,3
3966,100.0,human,True,,4
3967,20.833333333333332,neural,False,,4
3968,100.0,human,True,,5
3969,100.0,neural,False,,5
3970,100.0,human,True,,6
3971,26.666666666666668,neural,False,,6
3972,100.0,human,True,,7
3973,100.0,neural,False,,7
3974,100.0,human,True,,8
3975,58.333333333333336,neural,False,,8
3976,100.0,human,True,,9
3977,74.07407407407408,neural,False,,9
3978,100.0,human,True,,10
3979,100.0,neural,False,,10
3980,31.25,human,True,,1
3981,43.75,neural,False,,1
3982,100.0,human,True,,2
3983,100.0,neural,False,,2
3984,35.294117647058826,human,True,,3
3985,35.294117647058826,neural,False,,3
3986,100.0,human,True,,4
3987,50.0,neural,False,,4
3988,100.0,human,True,,5
3989,100.0,neural,False,,5
3990,100.0,human,True,,6
3991,26.666666666666668,neural,False,,6
3992,100.0,human,True,,7
3993,42.857142857142854,neural,False,,7
3994,100.0,human,True,,8
3995,58.333333333333336,neural,False,,8
3996,74.07407407407408,human,True,,9
3997,74.07407407407408,neural,False,,9
3998,100.0,human,True,,10
3999,100.0,neural,False,,10
4000,31.25,human,True,,1
4001,43.75,neural,False,,1
4002,100.0,human,True,,2
4003,100.0,neural,False,,2
4004,29.411764705882355,human,True,,3
4005,-11.76470588235294,neural,False,,3
4006,100.0,human,True,,4
4007,50.0,neural,False,,4
4008,100.0,human,True,,5
4009,100.0,neural,False,,5
4010,26.666666666666668,human,True,,6
4011,26.666666666666668,neural,False,,6
4012,100.0,human,True,,7
4013,100.0,neural,False,,7
4014,100.0,human,True,,8
4015,58.333333333333336,neural,False,,8
4016,74.07407407407408,human,True,,9
4017,74.07407407407408,neural,False,,9
4018,55.00000000000001,human,True,,10
4019,100.0,neural,False,,10
4020,100.0,human,True,,1
4021,-18.75,neural,False,,1
4022,0.0,human,True,,2
4023,-112.5,neural,False,,2
4024,-94.11764705882352,human,True,,3
4025,-70.58823529411765,neural,False,,3
4026,50.0,human,True,,4
4027,-75.0,neural,False,,4
4028,44.0,human,True,,5
4029,100.0,neural,False,,5
4030,60.0,human,True,,6
4031,33.33333333333333,neural,False,,6
4032,42.857142857142854,human,True,,7
4033,100.0,neural,False,,7
4034,100.0,human,True,,8
4035,66.66666666666666,neural,False,,8
4036,44.44444444444444,human,True,,9
4037,59.25925925925925,neural,False,,9
4038,100.0,human,True,,10
4039,100.0,neural,False,,10
4040,-62.5,literal,False,,1
4041,37.5,pragmatic,False,,1
4042,56.25,literal,False,,2
4043,25.0,pragmatic,False,,2
4044,35.294117647058826,literal,False,,3
4045,35.294117647058826,pragmatic,False,,3
4046,50.0,literal,False,,4
4047,50.0,pragmatic,False,,4
4048,100.0,literal,False,,5
4049,100.0,pragmatic,False,,5
4050,26.666666666666668,literal,False,,6
